"","Cong","X","X.1","X.2","State","X.3","Name","Dim1","Dim2","X.4","X.5","X.6","X0.714"
"6266",86,5009,48,0,"SOUTH C",100,"JOHNSTON",-0.1439,1.0033,-98.85301,351,37,0.667
"6267",86,1570,37,0,"SOUTH D",200,"CASE  F.",0.2536,-0.1707,-126.6265,313,63,0.677
"6268",86,6796,37,0,"SOUTH D",200,"MUNDT",0.2679,-0.0936,-135.45,347,68,0.784
"6269",86,5122,54,0,"TENNESS",100,"KEFAUVER",-0.5092,0.5826,-78.94795,325,35,0.75
"6270",86,3704,54,0,"TENNESS",100,"GORE",-0.391,0.6713,-93.99939,326,44,0.767
"6271",86,4979,49,0,"TEXAS",100,"JOHNSON",-0.204,0.22,-93.99049,355,41,0.719
"6272",86,10414,49,0,"TEXAS",100,"YARBOROUGH",-0.3605,0.5505,-115.91751,351,62,0.719
"6273",86,6754,67,0,"UTAH",100,"MOSS",-0.4668,0.358,-117.0004,354,44,0.784
"6274",86,645,67,0,"UTAH",200,"BENNETT",0.4072,-0.421,-84.88456,348,40,0.733
"6275",86,7637,6,0,"VERMONT",200,"PROUTY",0.1826,-0.5555,-109.5057,352,54,0.711
"6276",86,52,6,0,"VERMONT",200,"AIKEN",0.0578,-0.4472,-116.44302,342,65,0.809
"6277",86,1365,40,0,"VIRGINI",100,"BYRD",0.3416,0.7652,-66.47912,314,31,0.797
"6278",86,7958,40,0,"VIRGINI",100,"ROBERTSON",0.2075,0.6191,-79.16237,349,38,0.798
"6279",86,4851,73,0,"WASHING",100,"JACKSON",-0.2629,0.0849,-81.20083,360,36,0.774
"6280",86,5913,73,0,"WASHING",100,"MAGNUSON",-0.281,0.1744,-89.69859,350,48,0.741
"6281",86,7722,56,0,"WEST VI",100,"RANDOLPH",-0.2591,0.1179,-107.42834,359,49,0.734
"6282",86,1366,56,0,"WEST VI",100,"BYRD",-0.2011,0.5122,-111.05863,359,49,0.673
"6283",86,10110,25,0,"WISCONS",200,"WILEY",0.1133,-0.4859,-121.39235,306,67,0.67
"6284",86,7638,25,0,"WISCONS",100,"PROXMIRE",-0.5099,0.1431,-143.50449,358,60,0.813
"6285",86,7070,68,0,"WYOMING",100,"O'MAHONEY",-0.1536,0.1609,-53.55181,258,20,0.81
"6286",86,6249,68,0,"WYOMING",100,"MCGEE",-0.3037,0.2657,-74.03583,352,33,0.811
"6287",87,99902,99,0,"USA",100,"KENNEDY",-0.4933,-0.5033,-49.13074,235,23,0.799
"6288",87,4418,41,0,"ALABAMA",100,"HILL",-0.1615,0.8507,-84.58691,378,36,0.8
"6289",87,8764,41,0,"ALABAMA",100,"SPARKMAN",-0.1476,0.7161,-85.5769,384,36,0.743
"6290",87,3864,81,0,"ALASKA",100,"GRUENING",-0.639,0.6812,-115.48831,388,57,0.782
"6291",87,486,81,0,"ALASKA",100,"BARTLETT",-0.5011,0.5325,-97.81171,397,44,0.873
"6292",87,3658,61,0,"ARIZONA",200,"GOLDWATER",0.6566,-0.3931,-49.04163,361,16,0.793
"6293",87,4227,61,0,"ARIZONA",100,"HAYDEN",-0.1315,0.3119,-90.03265,389,25,0.616
"6294",87,3388,42,0,"ARKANSA",100,"FULBRIGHT",-0.4072,1.0044,-148.38921,306,84,0.792
"6295",87,6151,42,0,"ARKANSA",100,"MCCLELLAN",0.1098,0.6676,-87.36587,374,33,0.793
"6296",87,2965,71,0,"CALIFOR",100,"ENGLE",-0.284,0.178,-90.99641,393,35,0.701
"6297",87,5372,71,0,"CALIFOR",200,"KUCHEL",0.0867,-0.5979,-137.64827,388,68,0.819
"6298",87,1540,62,0,"COLORAD",100,"CARROLL",-0.5559,0.0295,-79.39408,398,32,0.748
"6299",87,142,62,0,"COLORAD",200,"ALLOTT",0.2762,-0.4709,-108.9744,375,44,0.664
"6300",87,2636,1,0,"CONNECT",100,"DODD",-0.2121,-0.0902,-157.07259,384,66,0.755
"6301",87,1329,1,0,"CONNECT",200,"BUSH",0.2524,-0.8456,-106.8297,380,49,0.685
"6302",87,823,11,0,"DELAWAR",200,"BOGGS",0.2176,-0.6604,-148.57925,393,72,0.764
"6303",87,10163,11,0,"DELAWAR",200,"WILLIAMS  J",0.5512,-0.5443,-106.11321,394,45,0.691
"6304",87,4520,43,0,"FLORIDA",100,"HOLLAND",0.0841,0.5437,-147.5961,400,74,0.716
"6305",87,8593,43,0,"FLORIDA",100,"SMATHERS",-0.0991,0.6703,-128.61282,385,60,0.727
"6306",87,9174,44,0,"GEORGIA",100,"TALMADGE",0.0186,0.8995,-123.51897,387,55,0.76
"6307",87,8138,44,0,"GEORGIA",100,"RUSSELL  R.",0.1687,0.938,-102.16782,373,45,0.804
"6308",87,5764,82,0,"HAWAII",100,"LONG  O.",-0.472,0.38,-85.07139,390,32,0.675
